selection,cursor,subject,target,repetition,success,total_time,contact_time,selection_time,curv_idx,path_length,straight_dist,avg_speed,target_entries
Dwell,Head,7.5,3.3635912698412698,5.017857142857143,1.0,3.789700089037696,1.0413431366567412,2.748356952380955,1.0248073949209988,3.2944583969019225,3.213940998885034,0.8534382047764032,4.3040674603174605
Dwell,MM,7.5,3.987066655514241,5.394849291423584,1.0,3.1933627851040214,1.0649379930298535,2.128424792074168,1.0249439419736281,2.7733030733776762,2.6999002174018294,0.8606252591978223,2.9070916426322335
Score,Head,7.5,3.9472804512042,5.556421762987942,1.0,2.9568606802066606,1.0717563988731684,1.885104281333492,1.0336233654959097,2.676125767631519,2.5994280880603218,0.9027633330233533,2.7008077915417705
Score,MM,7.5,3.9847644572788985,5.4939235837106315,1.0,2.689688268204217,0.9098260851422972,1.77986218306192,1.0246821316351948,2.5479611331138563,2.4754996546909855,0.9370355151767596,2.215616939445841
