condition,subject_num,repetition,duration,walklength,walkspeed,finalspeed
MM,3.5,4.375,4.600512413541666,3.032175938815545,0.6909038283152148,1.2131549351794435
head,3.5,5.125,7.694354395549237,4.171586360331517,0.4911591314937772,0.24849401863643947
