selection,cursor,subject,target,repetition,success,total_time,contact_time,selection_time,curv_idx,path_length,straight_dist,avg_speed,target_entries
Dwell,Head,7.5,3.996453722334004,5.487251995580038,0.06057432940081289,4.908512411763655,1.2038241100024136,3.7046883017612418,1.0602763599413718,4.452623236794522,4.213432090475306,0.905171028114955,7.11676189307979
Dwell,MM,7.5,4.002798507462686,5.5068137573004545,0.5781745709856514,3.917180155642755,1.110385274869433,2.806794880773322,1.044476810527918,3.4871664731832848,3.3264882930320665,0.8781087424332812,3.9876100701204122
Score,Head,7.5,3.994349616413168,5.560902402408803,0.7494653323365333,3.442537810438997,1.1361026855976417,2.3064351248413555,1.0445164289930573,3.0983840925871844,2.9686606824914166,0.8971563338822469,3.2884590899327226
Score,MM,7.5,4.0,5.5,0.9105902777777778,2.885189447048607,0.9194021145833323,1.9657873324652746,1.0324262292194093,2.7409379013266557,2.6326409148885666,0.9378606074452558,2.4678819444444446
