cursor,selection,subject,target,repetition,success,total_time,contact_time,selection_time,curv_idx,path_length,straight_dist,avg_speed,target_entries
Head,Dwell,4.0,4.0,1.0,1.0,1.8017874888888878,0.7448344370370371,1.0569530518518508,1.374542137422518,0.050234435902896946,0.03814756295664755,0.028265591673864682,1.2592592592592593
Head,Score,4.0,4.0,1.0,1.0,1.6985127407407397,0.658311592592594,1.0402011481481455,1.406359826150197,0.05344541075029349,0.03913726840978068,0.031428982630139386,1.037037037037037
MM,Dwell,4.0,4.0,1.0,1.0,1.782385996296297,0.6874848148148164,1.0949011814814806,1.4732253253380556,0.0485107548030528,0.03605566207068807,0.027721141755851993,1.2962962962962963
MM,Score,4.0,4.0,1.0,1.0,1.7093686296296304,0.5941534814814838,1.1152151481481465,1.331319985420823,0.04786213486372695,0.036464855244755075,0.02829039158025474,1.0740740740740742
